title,date,summary,link
Using Technological Innovation to Address Humanity's Grand Challenges | Huffington Post,"Oct. 12, 2016",What if a simple blood test could help cure cancer by early detection?,http://www.huffingtonpost.com/rachel-wolfson/using-ai-robotics-and-tec_b_12388866.html
Robotics The Future of Medicine,"Oct. 10, 2016","Computing and robotics is changing the face of medicine at a faster rate than ever before, and is going to affect the way we treat patients says a medical expert.",http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11724625
Rod Oram: Food's New Horizon,"Oct. 9, 2016","Kiwis, along with everyone else on the planet, have to make big decisions about which technologies to embrace, and which to reject.",http://www.stuff.co.nz/business/opinion-analysis/85025634/rod-oram-foods-new-horizon
"Unemployment in Tech the Equivalent to 'Economic Climate Change', Says Expert","Oct. 4, 2016","Singularity University’s mission is to educate, inspire and empower leaders to apply exponential technologies to address humanity’s grand challenges.",https://bizedge.co.nz/story/unemployment-tech-equivalent-economic-climate-change-says-expert/
The 10 Truths About Finding Meaningful Work,"Oct. 1, 2016",Singularity Hub Writer Alison Berman's story highlighted in new book,https://www.linkedin.com/pulse/10-truths-finding-meaningful-work-adam-smiley-poswolsky?trk=prof-post
Filipino Inventor Gets Nods at US Conference,,"Philippine Airlines recently flew one of the country’s pride, inventor Aisa Mijeno and her brother Raphael, who successfully represented the country and the whole of Asia in the recent Global Grand Challenge Awards held in California, USA.",http://thestandard.com.ph/news/-main-stories/top-stories/217373/filipino-inventor-gets-nods-at-us-conference.html
Future Perfect? Singularity University Tour Explores Tech Solutions,"Sept. 22, 2016","It’s like a whole other world, straight up!” said LLA senior Larrel Windom after his first experience using a virtual reality headset on a tour of Singularity University.",http://www.lifelearningacademysf.org/future-perfect-singularity-university-tour-explores-tech-solutions/
Singularity University Going Global with About 50 International Chapters,"Sept. 22, 2016",Singularity University is a Silicon Valley think tank that offers educational programs and a business incubator. ,http://www.nextbigfuture.com/2016/09/singularity-university-going-global.html
Meet the Fall 2016 class of TED Residents,"Sept. 20, 2016",Singularity University Alum named TED Residents ,http://blog.ted.com/meet-the-fall-2016-class-of-ted-residents/
Taking Sustainability to Warp Speed,"Sept. 18, 2016","No, I wasn’t a true Trekkie, but I know what warp speed is. And something in my bones tells me that to live long and prosper, human societies must work out how to jump into a very different space — technologically, economically, politically and, above all, culturally.",https://www.greenbiz.com/article/taking-sustainability-warp-speed
Into an Exponential Future,"Sept. 9, 2016","
<style type=""text/css"">
</style>
Over three days in the heart of San Francisco, I immersed myself in Singularity University’s Global Summit, learning about the future of technology and the world. Indeed technology is everywhere. It is steadily moving from a vertical towards a horizontal in society.​",http://www.huffingtonpost.com/entry/57d2c760e4b0273330ac3d57?timestamp=1473432573215
"A Cleaning Start-Up Wielding Mops, Buckets and 700 Data Points","Sept. 8, 2016","Squiffy Clean in Silicon Valley takes a tech-minded approach to cleaning offices, using analytics to set prices and improve efficiency. ",https://www.nytimes.com/2016/09/08/business/smallbusiness/a-cleaning-start-up-wielding-mops-buckets-and-700-data-points.html?_r=0
Tech to Help 1 Billion People,"Sept. 3, 2016",Young people will learn how technology can be harnessed to help billions of people at Find Your Billion workshops. ,http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11703327
"Industry 4.0, Are You Ready?","Sept. 2, 2016","OPINION: The fourth industrial revolution is upon us, what does it mean for your job?",http://www.stuff.co.nz/business/opinion-analysis/83804583/tom-hooper-buckle-up-for-the-fourth-industrial-revolution--the-biggest-one-yet
Uber Yourself Before You Get Kodak'ed' Urges Singularity Think Tank at S.F. Event,"Sept. 1, 2016","On the surface, the Singularity University Global Summit looks like any industry trade show, with speaker programs, panels, and an expo hall filled with entrepreneurs eager to show off their products to potential customers, investors, and partners.",http://www.bizjournals.com/sanfrancisco/blog/techflash/2016/08/singularity-university-conference-exponential-tech.html
Geocosmo Detects Intermittent Magnetic and Ground Temperature Signals 2-3 Weeks Before Large Earthquakes #gsummit,"Sept. 1, 2016",Using advanced sensors and algorithms GeoCosmo and its partners have successfully forecast twenty earthquakes in both North and South America. Up to seven days in advance.,http://www.nextbigfuture.com/2016/09/geocosmo-detects-intermittent-magnetic.html
The Real Reason This Elephant Chart is So Terrifying,"Aug. 24, 2016","This is the second in a series to show why it’s so essential for all of us to understand the implications of exponential technologies, and why we’re hosting the SingularityU New Zealand Summit in November.",https://shift.newco.co/the-real-reason-this-elephant-chart-is-terrifying-421e34cc4aa6#.qnzd8tsqa
UC Connect Public Lecture: Riding the Exponential Wave of Change,"Aug. 22, 2016","In an upcoming sold-out UC Connect public lecture, Singularity University's New Zealand Ambassador will give a startling look at the dramatic implications of exponential technologies, and some insight into how we might prepare for this dynamically changing world. ",http://www.voxy.co.nz/national/5/260806
Need a Hammer? Ask This Customer Service Robot,"Aug. 30, 2016","""I'm looking for a hammer,"" I tell a wheeled rectangle idling at a conference expo area in the San Francisco Union Square Hilton Hotel. The rectangle moves toward me, and I jump.",http://www.inc.com/tess-townsend/lowes-introduces-lowebot.html
"Lowe's Introduces LoweBot, a New Autonomous In-Store Robot","Aug. 30, 2016","Starting in the fall, Lowe's shoppers in the San Francisco Bay Area will be greeted by autonomous robots. The LoweBot speaks multiple languages, and will be deployed to 11 stores to help guide home improvers to find items in store.",https://www.cnbc.com/2016/08/30/lowes-introduces-lowebot-a-new-autonomous-in-store-robot.html
Why Singularity University Chose Eindhoven for its First International Expansion,"Aug. 20, 2016","Earlier this summer Singularity University (SU), think tank, business accelerator and unaccredited educational institution founded by futurists Peter Diamandis and Ray Kurzweil, opened its very first international department in Eindhoven. ",http://www.startupdelta.org/news/Why-Singularity-University-chose-Eindhoven-for-its-first-international-expansion
"With New Water Generators, Carrollton Startup Can Unlock the Ocean Above Your Head","Aug. 10, 2016","In the blackland prairie of Texas, an ocean may be hundreds of miles away. But Benjamin Blumenthal, co-founder and chief executive officer of SunToWater Technologies, says we're all standing under the sixth ocean -- the one that's above our heads. ",http://www.dallasnews.com/business/technology/headlines/20160810-with-new-water-generators-carrollton-startup-can-unlock-the-ocean-above-your-head.ece
