market_name,zip_code
Buffalo,14028
Buffalo,14029
Buffalo,14030
Buffalo,14031
Buffalo,14032
Buffalo,14033
Buffalo,14034
Buffalo,14035
Yuma-El Centro,85325
Bowling Green,42288
Bluefield-Beckley-Oak Hill,24826
Bluefield-Beckley-Oak Hill,24827
Bluefield-Beckley-Oak Hill,24828
Bluefield-Beckley-Oak Hill,24829
Bluefield-Beckley-Oak Hill,24830
Augusta,29129
Augusta,29137
Augusta,29164
Augusta,29801
Bangor,04410
Bangor,04411
Bangor,04412
Bangor,04413
Bangor,04414
Bangor,04415
Bangor,04416
Birmingham-Ann-Tuscaloosa,35085
Baltimore,20751
Baltimore,20755
Baltimore,20758
Baltimore,20759
Baltimore,20763
Baltimore,20764
Boston-Manchester,01453
Boston-Manchester,01460
Puerto Rico,00602
Baton Rouge,70761
Baton Rouge,70762
Baton Rouge,70764
Baton Rouge,70765
Binghamton,13752
Binghamton,13753
Boise,83653
Youngstown,16101
Wilmington,28320
Austin,77853
Austin,78602
Buffalo,14036
Buffalo,14037
Buffalo,14038
Yuma-El Centro,85328
Bluefield-Beckley-Oak Hill,24831
Bluefield-Beckley-Oak Hill,24834
Bluefield-Beckley-Oak Hill,24836
Augusta,29802
Augusta,29803
Augusta,29804
Augusta,29805
Bangor,04417
Bangor,04418
Bangor,04419
Bangor,04420
Bangor,04421
Bangor,04422
Yakima-Pasco-Richland-Kennewick,97801
Wichita-Hutchinson,66838
Birmingham-Ann-Tuscaloosa,35087
Birmingham-Ann-Tuscaloosa,35091
Birmingham-Ann-Tuscaloosa,35094
Birmingham-Ann-Tuscaloosa,35096
Baltimore,20765
Baltimore,20776
Baltimore,20777
Baltimore,20778
Boston-Manchester,01462
Boston-Manchester,01463
Boston-Manchester,01464
Boston-Manchester,01467
Boston-Manchester,01468
Boston-Manchester,01469
Wichita Falls-Lawton,73055
Puerto Rico,00603
Puerto Rico,00604
Puerto Rico,00604
Baton Rouge,70767
Baton Rouge,70769
Baton Rouge,70770
Baton Rouge,70772
Baton Rouge,70773
Baton Rouge,70774
Baton Rouge,70775
Baton Rouge,70776
Binghamton,13754
Binghamton,13754
Binghamton,13755
Binghamton,13756
Binghamton,13757
Binghamton,13758
Binghamton,13760
Wilkes Barre-Scranton,16822
Boise,83654
Boise,83655
Boise,83656
Boise,83657
Boise,83660
Boise,83661
Youngstown,16102
Youngstown,16103
Youngstown,16105
Youngstown,16107
Youngstown,16108
Youngstown,16112
Youngstown,16113
Youngstown,16114
Youngstown,16116
Youngstown,16117
Wilmington,28325
Wilmington,28332
Wilmington,28337
Wilmington,28349
Wilmington,28392
Wilmington,28398
Austin,78605
Austin,78606
Austin,78607
Austin,78608
Austin,78609
Austin,78610
Austin,78611
Austin,78612
Austin,78613
Austin,78615
Austin,78616
Austin,78617
Austin,78618
Buffalo,14039
Buffalo,14040
Buffalo,14041
Yuma-El Centro,85333
Yuma-El Centro,85334
Yuma-El Centro,85336
Bluefield-Beckley-Oak Hill,24839
Bluefield-Beckley-Oak Hill,24843
Bluefield-Beckley-Oak Hill,24844
Bluefield-Beckley-Oak Hill,24845
Bluefield-Beckley-Oak Hill,24846
Bluefield-Beckley-Oak Hill,24847
Augusta,29808
Augusta,29809
Augusta,29810
Augusta,29812
Augusta,29813
Augusta,29816
Augusta,29817
Augusta,29821
Augusta,29822
Augusta,29824
Augusta,29826
Augusta,29827
Augusta,29828
Bangor,04424
Bangor,04426
Bangor,04427
Yakima-Pasco-Richland-Kennewick,97810
Yakima-Pasco-Richland-Kennewick,97813
Yakima-Pasco-Richland-Kennewick,97826
Yakima-Pasco-Richland-Kennewick,97835
Yakima-Pasco-Richland-Kennewick,97838
Yakima-Pasco-Richland-Kennewick,97859
Yakima-Pasco-Richland-Kennewick,97862
Yakima-Pasco-Richland-Kennewick,97868
Yakima-Pasco-Richland-Kennewick,97875
Yakima-Pasco-Richland-Kennewick,97880
Wichita-Hutchinson,66840
Wichita-Hutchinson,66842
Wichita-Hutchinson,66843
Wichita-Hutchinson,66845
Wichita-Hutchinson,66846
Wichita-Hutchinson,66849
Wichita-Hutchinson,66850
Wichita-Hutchinson,66851
Wichita-Hutchinson,66853
Birmingham-Ann-Tuscaloosa,35097
Birmingham-Ann-Tuscaloosa,35098
Birmingham-Ann-Tuscaloosa,35111
Birmingham-Ann-Tuscaloosa,35112
Birmingham-Ann-Tuscaloosa,35114
Birmingham-Ann-Tuscaloosa,35115
Birmingham-Ann-Tuscaloosa,35116
Birmingham-Ann-Tuscaloosa,35117
Birmingham-Ann-Tuscaloosa,35118
Birmingham-Ann-Tuscaloosa,35119
Baltimore,20779
Baltimore,20794
Baltimore,21001
Baltimore,21005
Baltimore,21009
Baltimore,21010
Baltimore,21012
Baltimore,21013
Baltimore,21014
Baltimore,21015
Boston-Manchester,01470
Boston-Manchester,01471
Boston-Manchester,01472
Boston-Manchester,01473
Boston-Manchester,01474
Boston-Manchester,01475
Boston-Manchester,01477
Boston-Manchester,01501
Boston-Manchester,01503
Boston-Manchester,01504
Boston-Manchester,01505
Wichita Falls-Lawton,73425
Wichita Falls-Lawton,73434
Wichita Falls-Lawton,73442
Wichita Falls-Lawton,73456
Wichita Falls-Lawton,73491
Wichita Falls-Lawton,73501
Wichita Falls-Lawton,73502
Wichita Falls-Lawton,73503
Wichita Falls-Lawton,73505
Wichita Falls-Lawton,73506
Wichita Falls-Lawton,73507
Wichita Falls-Lawton,73520
Wichita Falls-Lawton,73521
Wichita Falls-Lawton,73522
Wichita Falls-Lawton,73523
Wichita Falls-Lawton,73526
Puerto Rico,00605
Puerto Rico,00606
Puerto Rico,00610
Puerto Rico,00611
Baton Rouge,70777
Baton Rouge,70778
Baton Rouge,70780
Baton Rouge,70782
Binghamton,13761
Binghamton,13762
Wilkes Barre-Scranton,16848
Wilkes Barre-Scranton,16910
Wilkes Barre-Scranton,16914
Wilkes Barre-Scranton,16925
Wilkes Barre-Scranton,16926
Wilkes Barre-Scranton,16945
Boise,83666
Boise,83669
Boise,83670
Boise,83672
Boise,83676
Boise,83677
Boise,83680
Boise,83686
Boise,83687
Boise,83701
Boise,83702
Boise,83703
Youngstown,16120
Youngstown,16121
Youngstown,16124
Youngstown,16125
Youngstown,16127
Youngstown,16130
Youngstown,16132
Youngstown,16133
Youngstown,16137
Youngstown,16140
Wilmington,28399
Wilmington,28401
Wilmington,28402
Wilmington,28403
Wilmington,28404
Austin,78619
Austin,78620
Austin,78621
Austin,78622
Austin,78624
Austin,78626
Austin,78627
Buffalo,14042
Buffalo,14043
Buffalo,14047
Buffalo,14048
Buffalo,14051
Yuma-El Centro,85344
Bluefield-Beckley-Oak Hill,24848
Bluefield-Beckley-Oak Hill,24849
Bluefield-Beckley-Oak Hill,24850
Bluefield-Beckley-Oak Hill,24853
Bluefield-Beckley-Oak Hill,24854
Bluefield-Beckley-Oak Hill,24855
Bluefield-Beckley-Oak Hill,24857
Augusta,29829
Augusta,29831
Augusta,29832
Augusta,29834
Augusta,29835
Augusta,29836
Bangor,04428
Bangor,04429
Bangor,04431
Bangor,04434
Bangor,04435
Yakima-Pasco-Richland-Kennewick,97882
Yakima-Pasco-Richland-Kennewick,97886
Yakima-Pasco-Richland-Kennewick,98068
Wichita-Hutchinson,66855
Wichita-Hutchinson,66858
Wichita-Hutchinson,66859
