description,file_urls,city_name,year,files
Download College of the Desert payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/college-desert-2012.csv,College of the Desert,2012,"[{'checksum': '5ce493687e75bed20b928a3806a0b3c5', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-desert-2012.csv', 'path': 'full/fa3388e3870af37f2c24240f01524cb83d294c5b.csv'}]"
Download College Of Marin payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/college-marin-2015.csv,College Of Marin,2015,"[{'checksum': '62b92c0bef958f153562547fe020ae13', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-marin-2015.csv', 'path': 'full/47bea7c26cc2937bb2a324629fa0ec76c5cce0ce.csv'}]"
Download College Of Marin payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-marin-2014.csv,College Of Marin,2014,"[{'checksum': 'b04fd9453ab976de1590df6ad2d801fe', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-marin-2014.csv', 'path': 'full/d070d0869a19be8cf689356e9ab4cc4999568e68.csv'}]"
Download College Of Marin payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-marin-2013.csv,College Of Marin,2013,"[{'checksum': '284dfe50ee79e2eea0c0981aaba1d6ed', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-marin-2013.csv', 'path': 'full/2b19faae4eb8408f3ac53f046a6abbdb9286e5e4.csv'}]"
Download College of the Sequoias payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/college-sequoias-2015.csv,College of the Sequoias,2015,"[{'checksum': '76f4e1aa5286c799f8802f8954d27b59', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-sequoias-2015.csv', 'path': 'full/1297fdc7d2fe4f04478f2371cbd025b35e688635.csv'}]"
Download College of the Desert payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/college-desert-2016.csv,College of the Desert,2016,"[{'checksum': '9449c28f16173be60cc76158b8ef5e20', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-desert-2016.csv', 'path': 'full/05038ce3731152c6bb8aa3e765faacbd16335e45.csv'}]"
Download College of the Canyons payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-canyons-2014.csv,College of the Canyons,2014,"[{'checksum': 'da0db6748dbf0645ff4978b70b9eb137', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-canyons-2014.csv', 'path': 'full/c47c69b67a0782c2f5c3bfa91851633a69c42ac0.csv'}]"
Download College Of Marin payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/college-marin-2012.csv,College Of Marin,2012,"[{'checksum': 'aa65ef6c06aba44a10ae34aad27ce5a3', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-marin-2012.csv', 'path': 'full/036dc45289b9932428a53fd9d4155e005ce6f5f9.csv'}]"
Download College of the Sequoias payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/college-sequoias-2016.csv,College of the Sequoias,2016,"[{'checksum': '34967518662275cc77c9b433eb0633b2', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-sequoias-2016.csv', 'path': 'full/b40160ce95353561f003f264ac7a42bad7fdaa94.csv'}]"
Download College of the Sequoias payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-sequoias-2014.csv,College of the Sequoias,2014,"[{'checksum': 'c737848c99060fcd652f984a627e4d34', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-sequoias-2014.csv', 'path': 'full/cefd6489e1c241e693b47411cd2495df291cc198.csv'}]"
Download College of the Sequoias payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-sequoias-2013.csv,College of the Sequoias,2013,"[{'checksum': 'ab108e65725956544681598f065cac9c', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-sequoias-2013.csv', 'path': 'full/f1e773f6d19d2a8ac1a7a1d800fecfdbf4e67879.csv'}]"
