city_name,year,description,file_urls,files
Mono County,2011,Download Mono County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/mono-county-2011.csv,"[{'checksum': '89dc438a7df48455078f2720bc92d114', 'url': 'https://transcal.s3.amazonaws.com/public/export/mono-county-2011.csv', 'path': 'full/4d7a4dad09e39dafe83dd3f7073b205b447d4a64.csv'}]"
Mendocino County,2013,Download Mendocino County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/mendocino-county-2013.csv,"[{'checksum': 'f0f3acb569dcb933362a443701c3349f', 'url': 'https://transcal.s3.amazonaws.com/public/export/mendocino-county-2013.csv', 'path': 'full/be0dffa614d171d902703854a6d005df695527a7.csv'}]"
Mariposa County,2013,Download Mariposa County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2013.csv,"[{'checksum': '0bcebff241bcff12a64785ae53e5773b', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2013.csv', 'path': 'full/ada72b48a4e245a700015784e427b46f6087bc8e.csv'}]"
Mariposa County,2015,Download Mariposa County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2015.csv,"[{'checksum': '2b8de9733cfb0839bea861037fd3f23b', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2015.csv', 'path': 'full/db589129de5cb034c97508cf1add07f06ec2e861.csv'}]"
Mariposa County,2014,Download Mariposa County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2014.csv,"[{'checksum': '51a85df462c0464815e07bfbda2c6409', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2014.csv', 'path': 'full/248e7242a926858f8237578fcf9c32727053fb74.csv'}]"
Mariposa County,2016,Download Mariposa County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2016.csv,"[{'checksum': '050c03f360459ca8b3ce229122149c00', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2016.csv', 'path': 'full/cbe73c091048f3a73db20556bad452c57b055f82.csv'}]"
Merced County,2011,Download Merced County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/merced-county-2011.csv,"[{'checksum': 'b6d3985b93885dade2c4d30f92d0b433', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2011.csv', 'path': 'full/e694bb01c9d7500e03150291e05303bb9d451730.csv'}]"
Mariposa County,2011,Download Mariposa County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2011.csv,"[{'checksum': '849151c17018c3b513e9f376a6e74eba', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2011.csv', 'path': 'full/e0143886d0bc01fb23a699622a5a6b9fbac9fefc.csv'}]"
Napa County,2011,Download Napa County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/napa-county-2011.csv,"[{'checksum': '0ce678d0ada5ffb7d488ec47a05585d2', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2011.csv', 'path': 'full/34441ff271133271d3d773fe5f37bd96d52cd818.csv'}]"
Madera County,2012,Download Madera County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/madera-county-2012.csv,"[{'checksum': 'a087d23351efc7144bbdad6e94bb9bdf', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2012.csv', 'path': 'full/d9b1e83c5836ae452c1e0668fb5ad798b9101b82.csv'}]"
